incrocio,incidenti,morti,feriti,lat,lon,score
VIA CRISTOFORO COLOMBO x VIA DEL CANALE DELLA LINGUA,15,2.0,9.0,41.7364,12.3457,260.0
VIA NOMENTANA x VIALE VENTUNO APRILE,7,1.0,8.0,41.921,12.5177,147.0
VIA CESARE FEDERICI x VIA CRISTOFORO COLOMBO,9,1.0,7.0,41.8638,12.4977,144.0
CIRCONVALLAZIONE OSTIENSE x VIA GIROLAMO BENZONI,6,1.0,7.0,41.86735,12.48445,141.0
VIA CASILINA x VIALE DELLA PRIMAVERA,9,1.0,6.0,41.8755,12.5575,139.0
CIRCONVALLAZIONE OSTIENSE x VIA OSTIENSE,4,1.0,5.0,41.86775,12.4796,129.0
VIA DEI CASTANI x VIA DEI FAGGI,6,1.0,3.0,41.8841,12.5668,121.0
VIA DELLE AVOCETTE x VIA ENRICO GIGLIOLI,2,1.0,3.0,41.8694,12.5981,117.0
VIA DELLA NOCETTA x VICOLO SILVESTRI,2,1.0,2.0,41.8833,12.432,112.0
VIA DI TORREVECCHIA x VIA GIROLAMO GHINUCCI,2,1.0,2.0,41.9234,12.4123,112.0
VIA ASMARA x VIA NOMENTANA,6,1.0,1.0,41.959,12.5737,111.0
VIA DEL PONTE DI PANTANO x VIA DELLA LITE,13,0.0,19.0,41.856,12.7133,108.0
VIA DI S. AGNESE x VIA NOMENTANA,3,1.0,1.0,41.9229,12.5195,108.0
VIA ANGELO BANTI x VIA SALARIA,3,1.0,1.0,42.0397,12.5591,108.0
VIA ANTONINO ANILE x VIA TUSCOLANA,2,1.0,1.0,41.8274,12.6252,107.0
VIA CHIANA x VIA SEBINO,2,1.0,1.0,41.9221,12.505749999999999,107.0
LARGO BRATISLAVA x VIALE ANTONINO DI SAN GIULIANO,2,1.0,1.0,41.93675,12.46095,107.0
VIA GIOVANNI VOLPATO x VIA PORTUENSE,1,1.0,1.0,41.8714,12.4674,106.0
LARGO DON LUIGI GUANELLA x VIA AURELIA ANTICA,3,1.0,0.0,41.8902,12.435,103.0
VIA CARLO ALBIZZATI x VIA GIANDOMENICO BERTOLI,3,1.0,0.0,41.7816,12.331,103.0
VIA MATELICA x VIA POLENSE,2,1.0,0.0,41.908550000000005,12.720749999999999,102.0
VIA MAR ROSSO x VIA MARE DI BERING,2,1.0,0.0,41.733450000000005,12.299199999999999,102.0
VIALE DELL'OCEANO INDIANO x VIALE EGEO,2,1.0,0.0,41.828500000000005,12.4539,102.0
VIA DI TORREVECCHIA x VIA DOLCEDO,1,1.0,0.0,41.9145,12.4069,101.0
VIALE JONIO x VIALE JONIO,1,1.0,0.0,41.9437,12.5427,101.0
VIA AUGUSTO VERA x VIA SALVATORE DI GIACOMO,1,1.0,0.0,41.8454,12.487,101.0
VIA MULAZZANO x VIA PEDRENGO,1,1.0,0.0,42.0352,12.473,101.0
VIA DELLA MAGLIANA x VIA DELLE VIGNE,1,1.0,0.0,41.8317,12.4196,101.0
VIA DI TOR CERVARA x VIA ENEIDE,1,1.0,0.0,41.9222,12.5886,101.0
VIA GIOVAN BATTISTA AUDIFFREDI x VIA TRIONFALE,1,1.0,0.0,41.9559,12.4125,101.0
VIA ANASTASIO II x VIA CARDINALE TRIPEPI,1,1.0,0.0,41.8999,12.4425,101.0
VIA CRISTOFORO COLOMBO x VIA GIOVANNI GENOCCHI,13,0.0,16.0,41.8588,12.4963,93.0
VIALE DELLA SERENISSIMA x VIALE DELLA VENEZIA GIULIA,17,0.0,15.0,41.8967,12.5587,92.0
VIA PRENESTINA x VIALE PALMIRO TOGLIATTI,35,0.0,11.0,41.8948,12.5749,90.0
LUNGOTEVERE MARZIO x PONTE CAVOUR,14,0.0,15.0,41.9049,12.475,89.0
VIA PRENESTINA x VIA TOR DE' SCHIAVI,13,0.0,15.0,41.8947,12.5592,88.0
VIA DEI CICLAMINI x VIA DEI GELSI,15,0.0,13.0,41.8889,12.5672,80.0
VIA DI VILLA ADA x VIA LARIANA,19,0.0,11.0,41.9244,12.5052,74.0
VIA DELL'ACQUEDOTTO DEL PESCHIERA x VIALE MONFORTANI,9,0.0,13.0,41.9374,12.4247,74.0
CIRCONVALLAZIONE OSTIENSE x VIA MANFREDO CAMPERIO,7,0.0,13.0,41.8674,12.49035,72.0
VIA DELLA STORTA x VIA DI BOCCEA,8,0.0,12.0,41.928,12.3533,68.0
VIA EMANUELE FILIBERTO x VIALE MANZONI,18,0.0,10.0,41.8903,12.5068,68.0
PIAZZALE UGO LA MALFA x VIA DEL CIRCO MASSIMO,17,0.0,10.0,41.8853,12.4849,67.0
VIA DI TORRE SPACCATA x VIALE BRUNO PELIZZI,6,0.0,12.0,41.8554,12.5838,66.0
VIA ACAIA x VIA SATRICO,11,0.0,11.0,41.8768,12.50815,66.0
VIA DI TOR VERGATA x VIA MARCELLO ALESSIO,10,0.0,11.0,41.8468,12.6226,65.0
CORSO DUCA DI GENOVA x VIALE DELLE REPUBBLICHE MARINARE,10,0.0,11.0,41.734,12.2713,65.0
VIA ALATRI x VIA TOR DE' SCHIAVI,12,0.0,10.0,41.8935,12.5594,62.0
LARGO CAMESENA x VIA CAMESENA,12,0.0,10.0,41.9091,12.5348,62.0
VIA GAETA x VIA GOITO,7,0.0,11.0,41.9053,12.5014,62.0
VIA CASILINA x VIALE PALMIRO TOGLIATTI,16,0.0,9.0,41.87395,12.5698,61.0
VIA DI ROCCA CENCIA x VIA PRENESTINA,4,0.0,11.0,41.8887,12.6958,59.0
PIAZZALE OSTIENSE x VIALE MARCO POLO,13,0.0,9.0,41.8761,12.4832,58.0
VIA CARLO DENINA x VIA TOMMASO FORTIFIOCCA,12,0.0,9.0,41.87,12.5234,57.0
PIAZZALE PINO PASCALI x VIALE PALMIRO TOGLIATTI,12,0.0,9.0,41.8972,12.575849999999999,57.0
VIA GIUSEPPE SALVIOLI x VIALE MARCO FULVIO NOBILIORE,5,0.0,10.0,41.8607,12.5661,55.0
VIA ANDREA MANTEGNA x VIA DEI GEORGOFILI,10,0.0,9.0,41.8519,12.4939,55.0
VIA TUSCOLANA x VIALE PALMIRO TOGLIATTI,14,0.0,8.0,41.852450000000005,12.57,54.0
VIA CESARE FRUGONI x VIA OSTIENSE,8,0.0,9.0,41.84205,12.4671,53.0
PIAZZALE CLODIO x VIALE GIOVANNI FALCONE E PAOLO BORSELLINO,12,0.0,8.0,41.9167,12.4549,52.0
LARGO PRENESTE x VIA PRENESTINA,12,0.0,8.0,41.8926,12.54195,52.0
VIA DI PORTONACCIO x VIA TIBURTINA,17,0.0,7.0,41.9082,12.5342,52.0
VIA CASILINA x VIA TOR DE' SCHIAVI,7,0.0,9.0,41.8748,12.5647,52.0
VIA BORGHESIANA x VIA PRENESTINA,6,0.0,9.0,41.891000000000005,12.663499999999999,51.0
VIA DI S. CROCE IN GERUSALEMME x VIALE MANZONI,6,0.0,9.0,41.8913,12.5079,51.0
VIA MOLFETTA x VIALE PALMIRO TOGLIATTI,5,0.0,9.0,41.8903,12.5743,50.0
VIA TOMMASO CAMPANELLA x VIA TRIONFALE,9,0.0,8.0,41.9409,12.4229,49.0
VIA DEI GELSI x VIALE DELLE ORCHIDEE,9,0.0,8.0,41.8893,12.5693,49.0
